"","species","observed","predicted","subplot","plot","year","planted_richness","sown"
"254","Poa pratensis",0,0,23,3,6,1,0
"255","Schizachyrium scoparium",0,0,23,3,6,1,0
"256","Agropyron repens",0,0,30,3,6,1,0
"257","Agrostis scabra",10,22.6152200566873,30,3,6,1,1
"258","Andropogon gerardi",0,0,30,3,6,1,0
"259","Poa pratensis",0,0,30,3,6,1,0
"260","Schizachyrium scoparium",0,0,30,3,6,1,0
"261","Agropyron repens",0,0,31,3,6,1,0
"262","Agrostis scabra",11.75,22.0978515245044,31,3,6,1,1
"263","Andropogon gerardi",0,0,31,3,6,1,0
"264","Poa pratensis",0,0,31,3,6,1,0
"265","Schizachyrium scoparium",0,0,31,3,6,1,0
"266","Agropyron repens",0,0,32,3,6,1,0
"267","Agrostis scabra",22.5,22.9235636847472,32,3,6,1,1
"268","Andropogon gerardi",0,0,32,3,6,1,0
"269","Poa pratensis",0,0,32,3,6,1,0
"270","Schizachyrium scoparium",0,0,32,3,6,1,0
"271","Agropyron repens",16.575,16.6008504607979,33,3,6,1,1
"272","Agrostis scabra",0,0,33,3,6,1,0
"273","Andropogon gerardi",0,0,33,3,6,1,0
"274","Poa pratensis",0,0,33,3,6,1,0
"275","Schizachyrium scoparium",0,0,33,3,6,1,0
"276","Agropyron repens",21.1,16.574248188233,36,3,6,1,1
"277","Agrostis scabra",0,0,36,3,6,1,0
"278","Andropogon gerardi",0,0,36,3,6,1,0
"279","Poa pratensis",0,0,36,3,6,1,0
"280","Schizachyrium scoparium",0,0,36,3,6,1,0
"281","Agropyron repens",0,0,37,3,6,1,0
"282","Agrostis scabra",0,0,37,3,6,1,0
"283","Andropogon gerardi",0,0,37,3,6,1,0
"284","Poa pratensis",40.25,19.738318638234,37,3,6,1,1
"285","Schizachyrium scoparium",0,0,37,3,6,1,0
"286","Agropyron repens",0,0,38,3,6,1,0
"287","Agrostis scabra",0,0,38,3,6,1,0
"288","Andropogon gerardi",0,0,38,3,6,1,0
"289","Poa pratensis",0,0,38,3,6,1,0
"290","Schizachyrium scoparium",24,25.4784080259291,38,3,6,1,1
"291","Agropyron repens",0,0,40,3,6,1,0
"292","Agrostis scabra",0,0,40,3,6,1,0
"293","Andropogon gerardi",0,0,40,3,6,1,0
"294","Poa pratensis",22.25,21.7666796720277,40,3,6,1,1
"295","Schizachyrium scoparium",0,0,40,3,6,1,0
"296","Agropyron repens",0,0,50,3,6,1,0
"297","Agrostis scabra",0,0,50,3,6,1,0
"298","Andropogon gerardi",0,0,50,3,6,1,0
"299","Poa pratensis",0,0,50,3,6,1,0
"300","Schizachyrium scoparium",35.75,28.6592330303282,50,3,6,1,1
"301","Agropyron repens",0,0,51,3,6,1,0
"302","Agrostis scabra",23.025,28.9834433988498,51,3,6,1,1
"303","Andropogon gerardi",0,0,51,3,6,1,0
"304","Poa pratensis",0,0,51,3,6,1,0
"305","Schizachyrium scoparium",0,0,51,3,6,1,0
"306","Agropyron repens",0,0,52,3,6,1,0
"307","Agrostis scabra",79.5,30.3203656118019,52,3,6,1,1
"308","Andropogon gerardi",0,0,52,3,6,1,0
"309","Poa pratensis",0,0,52,3,6,1,0
"310","Schizachyrium scoparium",0,0,52,3,6,1,0
"311","Agropyron repens",18,17.0630896490517,57,3,6,1,1
"312","Agrostis scabra",0,0,57,3,6,1,0
"313","Andropogon gerardi",0,0,57,3,6,1,0
"314","Poa pratensis",0,0,57,3,6,1,0
"315","Schizachyrium scoparium",0,0,57,3,6,1,0
"316","Agropyron repens",0,0,1,4,6,1,0
"317","Agrostis scabra",0,0,1,4,6,1,0
"318","Andropogon gerardi",0,0,1,4,6,1,0
"319","Poa pratensis",115.25,56.9212051589469,1,4,6,1,1
"320","Schizachyrium scoparium",0,0,1,4,6,1,0
